"# CELI abroad authoritative total = 123 centers (unique Cod Centro, official CVCL PDF 19-03-2026).",Clean row-parse below = 103 rows; ~20 rows dropped to PDF line-wrap (source PDF retained: centers/celi-centri-estero.pdf). CILS = source-blocked.
exam,scope,cod_centro,institution,continent,country,city
CELI,estero,1317,Centro Culturale Paraguaiano Europeo,Europa,Moldavia,Chisinau
CELI,estero,1349,Instituto Cultural Italo Peruano,Asia,Mongolia,Ulaanbaatar
CELI,estero,1658,Akademia Ekonomiczno - Humanistycznaw warszawie,Europa,Polonia,Varsavia
CELI,estero,611,Istituto Italiano di Cultura,Europa,Portogallo,Lisbona
CELI,estero,645,Istituto Italiano di Cultura,Europa,Romania,Bucarest
CELI,estero,1546,Colegiul Naional George Bariiu,Europa,Romania,Cluj-Napoca
CELI,estero,855,Università OVIDIUS,Europa,Romania,Costanta
CELI,estero,821,Liceul Teoretic Jean Louis Calderon,Europa,Romania,Timisoara
CELI,estero,1077,Centro Italiano di Cultura,Europa,Russia,Mosca
CELI,estero,1591,Derzhavin Institute,Europa,Russia,San Pietroburgo
CELI,estero,1370,Rudjer Boskovic School,Europa,Serbia,Belgrado
CELI,estero,674,Istituto Italiano di Cultura in Slovenia,Europa,Slovenia,Ljubljana
CELI,estero,657,Istituto Italiano di Cultura,Europa,Spagna,Barcellona
CELI,estero,1140,Universitat de Barcelona-Facultat de Filologia-Departament de,Europa,Spagna,Barcellona
CELI,estero,1377,Universidad de Málaga - Centro de Idiomas,Europa,Spagna,"C/ Ejido, s/n. Pabellón de Gobierno de la"
CELI,estero,1422,Idiomas Huelva- Kids Club Spain,Europa,Spagna,Calle Rafael Lopez n.1
CELI,estero,1661,Universitat Jaume I,Europa,Spagna,Castelló de la Plana
CELI,estero,1482,ELECE Idiomas.,Europa,Spagna,Granada
CELI,estero,1080,Centro G. Leopardi,Europa,Spagna,Valencia
CELI,estero,635,Istituto Italiano di Cultura,America,Stati Uniti d'America,710 Sansome St.
CELI,estero,1662,Renaissance Evolution Inc.,America,Stati Uniti d'America,Coral Gables
CELI,estero,1490,The Italian Cultural Society of Washington,America,Stati Uniti d'America,New York
CELI,estero,1180,Collina Italiana - Italian language and Cultural Center,America,Stati Uniti d'America,Washington
CELI,estero,1233,Istituto Italiano di Cultura di Tunisi,Europa,Svizzera,Aarau
CELI,estero,1652,C.I.P.E Comitato Italiano per la Promozione Educativa,Europa,Svizzera,Ascona (Ticino)
CELI,estero,700,Fondazione ECAP,Europa,Svizzera,Basilea
CELI,estero,1513,Weiterbildung - HKV Aarau,Europa,Svizzera,Lamone
CELI,estero,623,Comitato Pro Scuola Italiana,Europa,Svizzera,Losanna
CELI,estero,1447,Glossa Scuola di Lingue e di Informatica,Europa,Svizzera,Lugano
CELI,estero,891,"Scuola di Italiano ""Italia Oggi""",Europa,Svizzera,Lugano
CELI,estero,685,Miduca SA - Scuola Club Migros Lugano,Europa,Svizzera,Zurigo
CELI,estero,766,Scuola Didac,Europa,Svizzera,Zurigo
CELI,estero,613,Istituto Italiano di Cultura di Montevideo,Europa,Turchia,Ankara
CELI,estero,1421,Casa Italia,Europa,Turchia,Instanbul
CELI,estero,1069,Università di Economia di zmir,Europa,Turchia,Izmir
CELI,estero,633,Istituto Italiano di Cultura,Europa,Ungheria,Ungheria
CILS,estero,PENDING,"SOURCE BLOCKED: cils.unistrasi.it ""Le sedi di esami"" JS ITALIA/ESTERO selector — abba g browser-save required (Korean TOPIK precedent)",,,
